,TG_Titles,DM_Titles
0,"Watch the uncensored moment Will Smith smacks Chris Rock on stage at the Oscars, drops F-bomb",Awkward moment Andy Cohen forgets meeting Meghan Markle...twice
1,Dramatic timelapse footage shows lava engulfing car in Hawaii,Kardashian sisters dress up as mom Kris Jenner for her 67th birthday #shorts #celebrity
2,Yanny or Laurel video: which name do you hear? â€“ audio,Prince William 'livid' at Prince Harry for Diana footage in Netflix docuseries
3,The Queen's sense of humour remembered: from off-mic quips to tea with Paddington,Miley Cyrus slams ex Liam Hemsworth in fiery single 'Flowers'
4,Key moments from historic Korean summit,Netflix and Royals at war over Prince Harry and Meghan Markle docuseries
5,Explosions rock Russian ammunition depot in Siberia,'Very strange!' Prince Harry and Meghan Markle Netflix most disputed claims | Royal expert reaction
6,Judge tells Larry Nassar 'I just signed your death warrant',Prince Harry and Meghan Markle slam Royals again in Netflix series
7,'Speak directly!': Putin has tense exchange with his chief spy,'Not true!' Royal expert reacts to MORE things wrong with The Crown season 5 | How accurate is...?
8,"Holocaust survivor, 102, meets nephew after thinking all family died in war",Lisa Marie Presley: The star's former Scientology counselor speaks out
9,Journalist reports live from Gaza as neighbouring building hit by Israel airstrike,'Very nervous!' Are Meghan Markle and Prince Harry worried about Netflix show reaction?
10,'Iâ€™m not a cat': lawyer gets stuck on Zoom kitten filter during court case,Bombshell Prince Harry and Meghan Markle Netflix trailer uses stock footage ðŸ˜¬
11,Joe Biden stumbles on steps of Air Force One,tWitch Boss's wife honors late husband: 'Stephen lit up every room'
12,Underground water pipe explosion destroys road in Ukraine,'Highly offensive!' Royal expert reacts to Netflix's The Crown Season 5 | How accurate is...?
13,Russian president Vladimir Putin braves subzero lake to mark Orthodox Epiphany,Brendan Fraser looks unrecognisable in 'The Whale' #shorts #celebrity #brendanfraser
14,Massive explosion at Ukrainian military ammunitions depot,Aaron Carter dies at 34: Inside the singer's troubled life and death
15,Beirut explosion: footage shows massive blast shaking Lebanon's capital,Ariana Grande's brother brutally attacked by teens in NYC #Shorts #Celebrity
16,Anonymous testicle-checking booth debuts in New Zealand,"'Grotesque!' Ex-I'm A Celeb star reacts to Matt Hancock, 'fab' Mike Tindall | Jungle Confidential"
17,Listen to Big Ben's bongs sound for last time before they fall silent,Jimmy Kimmel mercilessly mocks Prince Harry's memoir revelation
18,Indonesian imam continues prayers in Bali during earthquake,Nepo baby alert! Kim Kardashian and Kanye West's kids land first movie roles
19,â€™Keep your voice downâ€™: Trump berates female reporter when questioned over Covid-19 response,Selena Gomez and kidney donor 'sister' Francia Raisa feud explained #celebrity #shorts #selenagomez
20,Ukrainian citizen confronts Russian soldiers after tank runs out of fuel,Taylor Lautner reveals biggest regret with ex Taylor Swift
21,Tense exchanges between Ukraine and Russia at UN security council,Olivia Wilde and Harry Styles SPLIT! #harrystyles #shorts #oliviawilde #celebrity
22,Video shows Ukrainian â€˜tank manâ€™ trying to block Russian military convoy,"TikTokers JoJo Siwa, Avery Cyrus and Soph Mosca love triangle twist"
23,'So you won't take down lies?': Alexandria Ocasio-Cortez challenges Facebook CEO,Khloe Kardashian ex Lamar Odom reveals shocking details about relationship in TMZ special
24,'I don't matter': Queen jokes about her platinum jubilee cake being upside down,Kanye West 'marriesâ€™ Yeezy architect Bianca Censori
25,Greta Thunberg to world leaders: 'How dare you? You have stolen my dreams and my childhood',Prince Harry and Meghan Markle's bombshell Netflix doc 'will air next month' #shorts #celebrity
26,How the world's media interrupted broadcasts to announce the death of Queen Elizabeth II,â€˜We canâ€™t breatheâ€™: Harry Styles pauses show after fans faint
27,North Korean leader watches extreme martial arts performance,'Institutional gaslighting': Meghan Markle and Prince Harry new bombshell Netflix trailer
28,Israeli police use cannon and teargas during clashes in Jerusalem and West Bank,Brooke Shields slams Barbara Walters over shock 1981 interview #shorts #celebrity
29,Pentagon officially releases 'UFO' videos,I'm A Celeb behind the scenes: We reveal what life's REALLY like in the jungle | Jungle Confidential
30,Chinese army puts on show of military might for Xi Jinping,'I can't forgive': I'm A Celeb legend reacts to Matt Hancock reaching final | Jungle Confidential
31,Barack Obama's final speech as president â€“ video highlights,Boy George vs Matt Hancock in I'm A Celeb final two? That's Sinitta's dream! | Jungle Confidential
32,Russian soldiers captured on CCTV disabling surveillance cameras,Khloe Kardashian slams claims she used diabetes drug for weight loss
33,"'You are a rude, terrible person' : Trump attacks CNN reporter",Christina Applegate makes first public appearance since MS diagnosis #shorts #celebrity
34,Train derailment in India kills seven people,'Idiot': Iâ€™m A Celeb winner Georgia Toffolo reacts to Matt Hancock on ITV show | Jungle Confidential
35,Larry Nassar: victim's father attempts attack in court,Balenciaga apologize over shocking ad campaign scandal...but are people buying it?
36,Moment second earthquake hits Turkey caught on live broadcast,I'm A Celeb legend Gillian McKeith talks THAT fainting scene and Mike Tindall | Jungle Confidential
37,Julia Gillard misogyny speech voted most unforgettable Australian TV moment: watch in full,Prince Harry and Meghan Markle share never-before-seen photos in explosive Netflix docuseries
38,White bellbird: listen to the world's loudest bird call,Matt Hancock has entered I'm A Celeb 2022 jungle: Reaction to latest episode | Jungle Confidential
39,Palestinians and Israeli police clash at Jerusalem's al-Aqsa mosque hours after Gaza truce,'Matt deserves to win' says Boris Johnson's dad and I'm A Celeb star Stanley | Jungle Confidential
40,Israeli police attack Palestinians at al-Aqsa mosque in eviction protests,Did Adele walk out of the Grammys over Harry Sylesâ€™ win?
41,Ukrainian woman offers seeds to Russian soldiers so 'sunflowers grow when they die',Kylie Jenner mocked over meaning of son's very unusual name
42,Paddington Bear joins the Queen for afternoon tea at Buckingham Palace,Nicola Peltz and Brooklyn Beckham's secret wedding drama revealed
43,Nuclear scientist Marv Adams explains what happened in the successful fusion experiment,Kim Kardashian buys Princess Diana's iconic necklace for $200K
44,Trump and Putin chat at Apec summit,Stranger Things star Noah Schnapp comes out!
45,Shinzo Abe shot: TV cameras capture attack on former PM and suspect's arrest,'We don't look like that!' Adele baffled by fan's video filter
46,Andrew Neil 'destroys' Ben Shapiro in BBC interview,'Cheers' star Kirstie Alley dead at 71 after secret battle with cancer
47,Beluga whale filmed playing 'fetch' with Rugby World Cup ball,"Boy George 'not worth Â£500K' on I'm A Celeb, ex-contestant reacts | Jungle Confidential"
48,â€˜Porn starsâ€™ deployed in New Zealand governmentâ€™s online safety campaign,Gwyneth Paltrow jokes about 'taking random men' home from clubs
49,How Donald Trump was mocked at the Emmys,Jennifer Lopez and Ben Affleck get matching tattoos
